genre,genre_glasovi
Fantasy,"5,388"
Fiction,"3,911"
Classics,760
Gothic,673
Fiction,"4,394"
Classics,"1,116"
Contemporary,368
Literature,353
Literary Fiction,284
Novels,280
Adult Fiction,188
