naslov,izdano,dolzina,jezik
The God of Small Things,1997,340,English
The Wind in the Willows,October 27th 2005,197,English
The Screwtape Letters,"<nobr class=""greyText"">",228,English
Girl with a Pearl Earring,2005,233,English
The Hiding Place,October 1st 1984,242,English
A Light in the Attic,October 7th 2002,176,English
Shiver,August 1st 2009,392,English
The Silence of the Lambs,2002,421,English
City of Fallen Angels,April 5th 2011,425,English
Uglies,February 8th 2005,425,English
Trotzdem ja zum Leben sagen: Ein Psychologe erlebt das Konzentrationslager,June 1st 2006,165,English
She's Come Undone,June 28th 1998,465,English
Ella Enchanted,September 1st 1998,232,English
Marley &amp; Me: Life and Love with the World's Worst Dog,October 18th 2005,291,English
Le Fantôme de l'Opéra,December 30th 1987,360,English
ねじまき鳥クロニクル [Nejimakidori kuronikuru],1997,607,English
Cinder,2012,400,English
The Green Mile,September 1st 1996,592,English
A Clash of Kings,May 28th 2002,969,English
Ensaio sobre a cegueira,August 23rd 2013,349,English
The Sound and the Fury,October 1990,366,English
The Shack: Where Tragedy Confronts Eternity,June 20th 2008,294,English
Hunted,May 1st 2007,306,English
Fear and Loathing in Las Vegas: A Savage Journey to the Heart of the American Dream,June 1998,204,English
The Guernsey Literary and Potato Peel Pie Society,July 10th 2018,291,English
For Whom the Bell Tolls,1995,471,English
La casa de los espíritus,August 30th 2005,448,English
The Complete Calvin and Hobbes,September 6th 2005,1456,English
Roots,October 1st 1977,729,English
Howl's Moving Castle,August 1st 2001,329,English
Misery,November 1st 1988,370,English
Stranger in a Strange Land,October 1st 1991,525,English
Island of the Blue Dolphins,February 8th 2010,194,English
Luftslottet som sprängdes,May 23rd 2010,566,English
The Secret History,April 13th 2004,559,English
Het Achterhuis,July 1993,283,English
White Oleander,September 1st 2001,446,English
Delirium,February 7th 2012,441,English
Beautiful Disaster,May 26th 2011,319,English
"The Tragedy of Othello, The Moor of Venice",January 1st 2004,314,English
Paper Towns,September 22nd 2009,305,English
Speak,January 15th 2019,224,English
The Vampire Lestat,August 31st 2004,481,English
Идиот,April 8th 2003,667,English
The Once and Future King,June 15th 1987,639,English
I Know This Much Is True ,May 1999,897,English
Neverwhere,September 2nd 2003,370,English
Into the Wild,January 20th 1997,207,English
Tintenherz,May 1st 2005,563,English
"Uncle Tom's Cabin; or, Life Among the Lowly",August 5th 1999,438,English
"Lamb: The Gospel According to Biff, Christ's Childhood Pal",May 25th 2004,444,English
The Historian,June 1st 2005,704,English
The Complete Sherlock Holmes,October 1st 1986,1796,English
Candide ou l'Optimisme,1991,129,English
Gone Girl,April 22nd 2014,415,English
Invisible Man,February 1st 1995,581,English
James and the Giant Peach,September 10th 2002,146,English
Blood River: A Journey to Africa's Broken Heart,January 3rd 2008,363,English
Paradise Lost,February 27th 2003,453,English
All Creatures Great and Small,April 15th 1998,437,English
Leaves of Grass,August 1st 2006,624,English
Graceling,October 1st 2008,471,English
Foundation,June 1st 2004,244,English
The Complete Works of William Shakespeare,September 8th 1990,1248,English
